clave,object_number,area,perimeter,angle_of_inclination,texture,intensity,Cluster_Normalized,PCA_Component_1,PCA_Component_2,Cluster_PCA
93.png,3,60335,1114,1.077220036,54.16068174,255,0,0.334138175,-0.542799981,0
94.png,3,58830,1096,1.011627868,53.67700681,255,0,0.303211298,-0.572038089,0
95.png,2,86738,1564,0.986754934,55.45907893,255,0,0.826523567,-0.468456496,0
95.png,4,58306,1082,0.984496086,53.88724534,255,0,0.298513738,-0.586952039,0
96.png,3,58599,1096,1.011627868,53.46624039,255,0,0.295803303,-0.571439575,0
97.png,5,58259,1080,0.980620117,53.94351802,255,0,0.298757099,-0.589157502,0
98.png,3,58599,1096,1.011627868,53.46624039,255,0,0.295803303,-0.571439575,0
99.png,3,57840,1080,0.980620117,53.55555506,255,0,0.285174725,-0.588053124,0
10.png,4,10992,458,0.94017086,23.99999948,255,1,-1.188551633,-0.669075213,1
11.png,4,11771,514,1.170940071,22.90077776,255,1,-1.194377897,-0.560559386,1
11.png,6,10954,458,0.94017086,23.91703005,255,1,-1.191009842,-0.66881676,1
18.png,1,12957,500,0.937499927,25.91399948,255,1,-1.101213713,-0.66599733,1
19.png,1,12869,496,0.9370078,25.94556399,255,1,-1.103145038,-0.667252718,1
19.png,4,12936,498,0.944881815,25.97590309,255,1,-1.101208084,-0.663736921,1
20.png,1,12833,496,0.9370078,25.87298335,255,1,-1.105319312,-0.667027817,1
20.png,5,12893,498,0.944881815,25.88955771,255,1,-1.103796198,-0.663469442,1
21.png,1,12822,496,0.9370078,25.85080593,255,1,-1.105983674,-0.666959097,1
21.png,6,12883,498,0.944881815,25.86947739,255,1,-1.104398085,-0.663407238,1
22.png,1,12795,496,0.9370078,25.79637045,255,1,-1.10761438,-0.666790421,1
22.png,7,12856,498,0.944881815,25.81526053,255,1,-1.10602318,-0.663239286,1
23.png,5,13144,504,0.937984423,26.07936456,255,1,-1.093371176,-0.665354617,1
24.png,3,12964,500,0.937499927,25.92799948,255,1,-1.100793835,-0.666040687,1
25.png,2,11384,464,0.932773031,24.53448223,255,1,-1.168033486,-0.672240193,1
25.png,4,13085,500,0.937499927,26.16999948,255,1,-1.093535947,-0.666790141,1
26.png,1,13035,500,0.937499927,26.06999948,255,1,-1.096535074,-0.666480449,1
26.png,6,6777,354,0.966292026,19.14406726,255,1,-1.403229201,-0.668278601,1
26.png,7,12916,498,0.944881815,25.93574245,255,1,-1.102411858,-0.663612512,1
27.png,1,12959,498,0.944881815,26.02208783,255,1,-1.099823744,-0.663879991,1
27.png,2,12910,496,0.9370078,26.02822528,255,1,-1.100668781,-0.667508856,1
27.png,7,13082,502,0.930232486,26.05976044,255,1,-1.094995938,-0.668855311,1
