clave,object_number,area,perimeter,angle_of_inclination,texture,intensity,Cluster_Normalized
35.png,2,143466,2086,0.725563896,68.77564684,255,4
4.png,3,185414,2924,1.480898843,63.41108049,255,4
45.png,4,142603,2234,0.725563896,63.83303463,255,4
46.png,5,142425,2252,0.725563896,63.24378302,255,4
47.png,6,142136,2280,0.725563896,62.3403506,255,4
48.png,1,142608,2068,0.728624522,68.95938071,255,4
49.png,1,143456,2084,0.725563896,68.83685188,255,4
49.png,2,141226,2050,0.739130421,68.89073137,255,4
5.png,1,121487,2342,1.240310045,51.87318509,255,4
5.png,2,134161,2922,1.235436863,45.91409977,255,4
5.png,3,186009,2900,1.480898843,64.14103426,255,4
5.png,5,132300,2756,1.238329208,48.00435396,255,4
50.png,1,143203,2082,0.726930306,68.7814598,255,4
50.png,6,139266,2044,0.741444853,68.13405055,255,4
50.png,7,143213,2082,0.726930306,68.78626288,255,4
51.png,1,142985,2126,0.726930306,67.2554089,255,4
51.png,2,142889,2126,0.725047067,67.21025368,255,4
51.png,3,138330,2058,0.740952367,67.21574311,255,4
51.png,4,142989,2132,0.725563896,67.06801094,255,4
52.png,1,142985,2126,0.726930306,67.2554089,255,4
52.png,2,142889,2126,0.725047067,67.21025368,255,4
52.png,3,138330,2058,0.740952367,67.21574311,255,4
52.png,4,142989,2132,0.725563896,67.06801094,255,4
53.png,1,142008,2268,0.726930306,62.61375634,255,4
53.png,2,141843,2280,0.725047067,62.21184183,255,4
53.png,3,136345,2072,0.73563217,65.80357111,255,4
53.png,4,141969,2280,0.726930306,62.26710499,255,4
53.png,5,141840,2276,0.725047067,62.31985913,255,4
54.png,2,140678,2048,0.740530289,68.69042935,255,4
55.png,2,140420,2046,0.740530289,68.63147572,255,4
56.png,2,139894,2060,0.740037937,67.90970841,255,4
57.png,3,141444,2054,0.739622628,68.86270658,255,4
58.png,3,141226,2050,0.739130421,68.89073137,255,4
59.png,2,142039,2058,0.736842091,69.01797828,255,4
6.png,1,120219,2444,1.240310045,49.18944333,255,4
6.png,2,132211,3006,1.238442792,43.98236845,255,4
6.png,7,130683,2892,1.238329208,45.18775918,255,4
60.png,1,142493,2068,0.728624522,68.90377143,255,4
61.png,1,143371,2084,0.725563896,68.79606493,255,4
61.png,3,140420,2046,0.740530289,68.63147572,255,4
62.png,1,143274,2082,0.726930306,68.81556163,255,4
62.png,3,139894,2060,0.740037937,67.90970841,255,4
63.png,1,143232,2082,0.726930306,68.79538872,255,4
63.png,2,139498,2042,0.740037937,68.31439731,255,4
64.png,2,143385,2080,0.726930306,68.93509582,255,4
64.png,3,172986,2280,0.738095226,75.8710523,255,4
65.png,1,142364,2068,0.728624522,68.84139232,255,4
66.png,2,142364,2068,0.728624522,68.84139232,255,4
67.png,3,142039,2058,0.736842091,69.01797828,255,4
68.png,3,141848,2060,0.736842091,68.85825209,255,4
69.png,4,140950,2050,0.739130421,68.75609723,255,4
70.png,1,143651,2084,0.725563896,68.93042193,255,4
71.png,1,143555,2084,0.725563896,68.88435668,255,4
71.png,2,143437,2082,0.723684197,68.89385173,255,4
72.png,1,143503,2082,0.725563896,68.92555202,255,4
72.png,2,143409,2082,0.723684197,68.88040313,255,4
73.png,1,143423,2084,0.725563896,68.82101694,255,4
73.png,2,143349,2082,0.723684197,68.85158468,255,4
74.png,1,143555,2084,0.725563896,68.88435668,255,4
74.png,2,143437,2082,0.723684197,68.89385173,255,4
75.png,1,143503,2082,0.725563896,68.92555202,255,4
75.png,2,143409,2082,0.723684197,68.88040313,255,4
76.png,4,143418,2084,0.725563896,68.81861771,255,4
76.png,5,143186,2080,0.725047067,68.83942275,255,4
80.png,1,143545,2086,0.725563896,68.81351837,255,4
82.png,2,188562,2820,1.480898843,66.86595721,255,4
83.png,2,188233,2822,1.480898843,66.70198417,255,4
85.png,1,143347,2086,0.725563896,68.71859986,255,4
85.png,3,188233,2822,1.480898843,66.70198417,255,4
93.png,1,143572,2084,0.725563896,68.89251406,255,4
94.png,1,143451,2084,0.725563896,68.83445264,255,4
94.png,5,143245,2080,0.725047067,68.86778813,255,4
95.png,1,143344,2086,0.725563896,68.7171617,255,4
95.png,6,143139,2080,0.725047067,68.81682659,255,4
96.png,1,143360,2084,0.725563896,68.79078662,255,4
96.png,5,143209,2080,0.725047067,68.85048044,255,4
97.png,1,143240,2084,0.725563896,68.73320504,255,4
98.png,1,143360,2084,0.725563896,68.79078662,255,4
99.png,1,143192,2080,0.725047067,68.84230736,255,4
99.png,2,143235,2084,0.725563896,68.73080581,255,4
